task,sample_id,annotation_video_id,resolved_video_path,mapping_status,ground_truth,skip_reason,evaluated
tsh,tsh:20,biyf6Q-xF0M_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/biyf6Q-xF0M_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:21,Ggw7rtn3J-8_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Ggw7rtn3J-8_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:22,Mw_AIqw6rfM_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Mw_AIqw6rfM_clip_1_3.mp4,resolved,BA,,True
tsh,tsh:23,WbZpWiPCHVU_clip_3_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/WbZpWiPCHVU_clip_3_6.mp4,resolved,BA,,True
tsh,tsh:24,JTGS1YulUQw_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/JTGS1YulUQw_clip_1_3.mp4,resolved,AB,,True
tsh,tsh:25,NkJA_0tErGY_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/NkJA_0tErGY_clip_2_4.mp4,resolved,BA,,True
tsh,tsh:26,QKEFacWrn_8_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/QKEFacWrn_8_clip_1_2.mp4,resolved,AB,,True
tsh,tsh:27,JRr3BruqS2Y_clip_1_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/JRr3BruqS2Y_clip_1_7.mp4,resolved,BA,,True
tsh,tsh:28,L35c6QI1l_0_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/L35c6QI1l_0_clip_2_3.mp4,resolved,AB,,True
tsh,tsh:29,36JC5C6I4sg_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/36JC5C6I4sg_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:30,elgmPvU19K8_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/elgmPvU19K8_clip_3_4.mp4,resolved,BA,,True
tsh,tsh:31,keFBEoBy0zY_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/keFBEoBy0zY_clip_1_2.mp4,resolved,AB,,True
tsh,tsh:32,QZi1yBFRZzc_clip_14_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/QZi1yBFRZzc_clip_14_3.mp4,resolved,BA,,True
tsh,tsh:33,s9r-CxnCXkg_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/s9r-CxnCXkg_clip_4_5.mp4,resolved,BA,,True
tsh,tsh:34,9qFwSM8QLIE_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/9qFwSM8QLIE_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:35,STaS53CNlZI_clip_3_8,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/STaS53CNlZI_clip_3_8.mp4,resolved,AB,,True
tsh,tsh:36,HWkGANOfqQE_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/HWkGANOfqQE_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:37,4avZ79LB5n4_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/4avZ79LB5n4_clip_2_4.mp4,resolved,BA,,True
tsh,tsh:38,JlgDwIT9KLI_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/JlgDwIT9KLI_clip_2_3.mp4,resolved,AB,,True
tsh,tsh:39,zukEQgbWdsY_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/zukEQgbWdsY_clip_4_5.mp4,resolved,BA,,True
tsh,tsh:40,UpmzSgLLj-s_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/UpmzSgLLj-s_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:41,KVaTsulE5Z0_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/KVaTsulE5Z0_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:42,WhYyvKiwLc8_clip_1_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/WhYyvKiwLc8_clip_1_4.mp4,resolved,AB,,True
tsh,tsh:43,roTIeCtx94Q_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/roTIeCtx94Q_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:44,QGZN8aXpXHU_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/QGZN8aXpXHU_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:45,Ni7Lqloy5Qc_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Ni7Lqloy5Qc_clip_2_4.mp4,resolved,BA,,True
tsh,tsh:46,6SFW4g4UVKI_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/6SFW4g4UVKI_clip_1_2.mp4,resolved,AB,,True
tsh,tsh:47,22qauL6BO8E_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/22qauL6BO8E_clip_3_4.mp4|/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/STH_videos/STH/22qauL6BO8E_clip_3_4.mp4,ambiguous,AB,video_ambiguous,True
tsh,tsh:48,gEYutYXODs4_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/gEYutYXODs4_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:49,eMB9L-LDK1E_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/eMB9L-LDK1E_clip_1_3.mp4,resolved,BA,,True
tsh,tsh:50,kH50-giCeDM_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/kH50-giCeDM_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:51,kH50-giCeDM_clip_1_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/kH50-giCeDM_clip_1_4.mp4,resolved,AB,,True
tsh,tsh:52,UadYaZOC6B8_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/UadYaZOC6B8_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:53,Lv6ypQZWIEg_clip_4_8,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Lv6ypQZWIEg_clip_4_8.mp4,resolved,AB,,True
tsh,tsh:54,sx_npA4wRrw_clip_1_8,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/sx_npA4wRrw_clip_1_8.mp4,resolved,BA,,True
tsh,tsh:55,sx_npA4wRrw_clip_2_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/sx_npA4wRrw_clip_2_7.mp4,resolved,AB,,True
tsh,tsh:56,sx_npA4wRrw_clip_1_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/sx_npA4wRrw_clip_1_7.mp4,resolved,BA,,True
tsh,tsh:57,mTlReluteEQ_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/mTlReluteEQ_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:58,bOULU-0Nloc_clip_1_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/bOULU-0Nloc_clip_1_5.mp4,resolved,BA,,True
tsh,tsh:59,bOULU-0Nloc_clip_2_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/bOULU-0Nloc_clip_2_5.mp4,resolved,BA,,True
tsh,tsh:60,tZF_WIdSQHM_clip_6_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/tZF_WIdSQHM_clip_6_7.mp4,resolved,AB,,True
tsh,tsh:61,Ez7s36AwgLk_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Ez7s36AwgLk_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:62,U697zTxxDHM_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/U697zTxxDHM_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:63,U697zTxxDHM_clip_1_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/U697zTxxDHM_clip_1_5.mp4,resolved,BA,,True
tsh,tsh:64,vGcH8N8sJlM_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/vGcH8N8sJlM_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:65,BVzW_OoUmnU_clip_1_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/BVzW_OoUmnU_clip_1_4.mp4,resolved,AB,,True
tsh,tsh:66,cMndipw7_As_clip_3_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/cMndipw7_As_clip_3_7.mp4,resolved,BA,,True
tsh,tsh:67,jrXoqceGS-k_clip_2_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/jrXoqceGS-k_clip_2_5.mp4,resolved,AB,,True
tsh,tsh:68,llcbN-s26vs_clip_1_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/llcbN-s26vs_clip_1_4.mp4,resolved,BA,,True
tsh,tsh:69,llcbN-s26vs_clip_1_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/llcbN-s26vs_clip_1_5.mp4,resolved,AB,,True
tsh,tsh:70,WFL8DhccHr0_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/WFL8DhccHr0_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:71,rVRNX-fClE4_clip_5_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/rVRNX-fClE4_clip_5_6.mp4,resolved,BA,,True
tsh,tsh:72,7h70U1m5hFg_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/7h70U1m5hFg_clip_4_5.mp4,resolved,AB,,True
tsh,tsh:73,jl10JmELMqY_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/jl10JmELMqY_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:74,zmEyQT7ifS8_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/zmEyQT7ifS8_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:75,mZ6iJfRokTw_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/mZ6iJfRokTw_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:76,DLlooZTLPdI_clip_1_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/DLlooZTLPdI_clip_1_5.mp4,resolved,BA,,True
tsh,tsh:77,uyr2mXqn3Yo_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/uyr2mXqn3Yo_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:78,2fPWPaNrUEM_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/2fPWPaNrUEM_clip_4_5.mp4,resolved,AB,,True
tsh,tsh:79,06ofnvq2Hjs_clip_5_9,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/06ofnvq2Hjs_clip_5_9.mp4,resolved,BA,,True
tsh,tsh:80,zrnxRV3yLR8_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/zrnxRV3yLR8_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:81,t1MXansbY5s_clip_1_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/t1MXansbY5s_clip_1_4.mp4,resolved,BA,,True
tsh,tsh:82,8B4M8AsGZmQ_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/8B4M8AsGZmQ_clip_1_3.mp4,resolved,AB,,True
tsh,tsh:83,i_Fs0Qrtu90_clip_2_8,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/i_Fs0Qrtu90_clip_2_8.mp4,resolved,BA,,True
tsh,tsh:84,i_Fs0Qrtu90_clip_2_9,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/i_Fs0Qrtu90_clip_2_9.mp4,resolved,AB,,True
tsh,tsh:85,1BgVCXxPjIc_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/1BgVCXxPjIc_clip_3_4.mp4|/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/STH_videos/STH/1BgVCXxPjIc_clip_3_4.mp4,ambiguous,BA,video_ambiguous,True
tsh,tsh:86,L9dtiopWGe4_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/L9dtiopWGe4_clip_2_3.mp4,resolved,AB,,True
tsh,tsh:87,0Mz4NTozNXw_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/0Mz4NTozNXw_clip_4_5.mp4,resolved,AB,,True
tsh,tsh:88,Xgp4BTstS20_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Xgp4BTstS20_clip_1_2.mp4|/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/STH_videos/STH/Xgp4BTstS20_clip_1_2.mp4,ambiguous,BA,video_ambiguous,True
tsh,tsh:89,KRGiJIHSd9E_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/KRGiJIHSd9E_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:90,Fe4tO5vW9_E_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/Fe4tO5vW9_E_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:91,srXhWAGzd-s_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/srXhWAGzd-s_clip_2_4.mp4,resolved,BA,,True
tsh,tsh:92,w4CiGbHLTBg_clip_1_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/w4CiGbHLTBg_clip_1_4.mp4,resolved,AB,,True
tsh,tsh:93,QElXIVBV-gk_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/QElXIVBV-gk_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:94,PT18KK_6jmU_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/PT18KK_6jmU_clip_3_4.mp4,resolved,AB,,True
tsh,tsh:95,GtYf9VsPHO0_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/GtYf9VsPHO0_clip_2_3.mp4,resolved,AB,,True
tsh,tsh:96,L4tdvpago7s_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/L4tdvpago7s_clip_3_4.mp4|/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/STH_videos/STH/L4tdvpago7s_clip_3_4.mp4,ambiguous,BA,video_ambiguous,True
tsh,tsh:97,KfP205pf7PU_clip_1_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/KfP205pf7PU_clip_1_5.mp4,resolved,AB,,True
tsh,tsh:98,KE2tDW9x9d8_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/KE2tDW9x9d8_clip_1_2.mp4,resolved,BA,,True
tsh,tsh:99,WdC6dVbfTvs_clip_2_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/WdC6dVbfTvs_clip_2_5.mp4,resolved,AB,,True
tsh,tsh:100,zSWuVb-aYAA_clip_4_9,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/zSWuVb-aYAA_clip_4_9.mp4,resolved,BA,,True
tsh,tsh:101,TvQjlIaAssw_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/TvQjlIaAssw_clip_4_5.mp4|/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/STH_videos/STH/TvQjlIaAssw_clip_4_5.mp4,ambiguous,AB,video_ambiguous,True
tsh,tsh:102,z-iuSgXKUcw_clip_3_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/z-iuSgXKUcw_clip_3_4.mp4,resolved,BA,,True
tsh,tsh:103,E7rhlhVA0SY_clip_10_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/E7rhlhVA0SY_clip_10_5.mp4,resolved,AB,,True
tsh,tsh:104,fmdG9uPnWHQ_clip_4_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/fmdG9uPnWHQ_clip_4_6.mp4,resolved,AB,,True
tsh,tsh:105,fmdG9uPnWHQ_clip_3_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/fmdG9uPnWHQ_clip_3_6.mp4,resolved,BA,,True
tsh,tsh:106,bM5VpCdPOrw_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/bM5VpCdPOrw_clip_1_3.mp4,resolved,AB,,True
tsh,tsh:107,AyYpsQ4xOo8_clip_1_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/AyYpsQ4xOo8_clip_1_5.mp4,resolved,BA,,True
tsh,tsh:108,MWdPh6J-YXM_clip_6_8,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/MWdPh6J-YXM_clip_6_8.mp4,resolved,AB,,True
tsh,tsh:109,MWdPh6J-YXM_clip_1_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/MWdPh6J-YXM_clip_1_6.mp4,resolved,AB,,True
tsh,tsh:110,MubE2kOK6z0_clip_5_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/MubE2kOK6z0_clip_5_6.mp4,resolved,BA,,True
tsh,tsh:111,1mJeGeb-iew_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/1mJeGeb-iew_clip_4_5.mp4,resolved,BA,,True
tsh,tsh:112,wHDZkh-21G0_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/wHDZkh-21G0_clip_1_2.mp4,resolved,AB,,True
tsh,tsh:113,4IRb308UjTA_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/4IRb308UjTA_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:114,4IRb308UjTA_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/4IRb308UjTA_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:115,fevlUD03yCM_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/fevlUD03yCM_clip_2_4.mp4,resolved,BA,,True
tsh,tsh:116,UYcpD3r6Ol0_clip_3_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/UYcpD3r6Ol0_clip_3_6.mp4,resolved,AB,,True
tsh,tsh:117,NkCbbwxEdXU_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/NkCbbwxEdXU_clip_1_2.mp4,resolved,AB,,True
tsh,tsh:118,8xYzQMbI5fM_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/8xYzQMbI5fM_clip_2_4.mp4,resolved,BA,,True
